interatomic distance(nm), energy(K), force(nN), time elapsed
0.376978948965, -125.628331454588, 9.326103123289, 0.0228
0.376909244601, -125.634688761867, 8.914398487156, 0.0231
0.376839138580, -125.640792665749, 8.498677523550, 0.0234
0.376768649632, -125.646635485791, 8.079018135326, 0.0237
0.376697796666, -125.652209772685, 7.655500714852, 0.0240
0.376626598765, -125.657508318906, 7.228208178659, 0.0243
0.376555075182, -125.662524169260, 6.797226000733, 0.0246
0.376483245336, -125.667250631331, 6.362642244341, 0.0249
0.376411128808, -125.671681285817, 5.924547592293, 0.0252
0.376338745338, -125.675809996724, 5.483035375561, 0.0255
0.376266114820, -125.679630921417, 5.038201600137, 0.0258
0.376193257296, -125.683138520498, 4.590144972049, 0.0261
0.376120192955, -125.686327567505, 4.138966920420, 0.0264
0.376046942126, -125.689193158402, 3.684771618486, 0.0267
0.375973525274, -125.691730720857, 3.227666002458, 0.0270
0.375899962995, -125.693936023275, 2.767759788139, 0.0273
0.375826276011, -125.695805183578, 2.305165485182, 0.0276
0.375752485166, -125.697334677710, 1.839998408898, 0.0279
0.375678611419, -125.698521347850, 1.372376689507, 0.0282
0.375604675840, -125.699362410305, 0.902421278737, 0.0285
0.375530699604, -125.699855463079, 0.430255953655, 0.0288
0.375456703985, -125.699998493089, -0.043992682347, 0.0291
0.375382710352, -125.699789883007, -0.520195201532, 0.0294
0.375308740162, -125.699228417721, -0.998219356842, 0.0297
0.375234814953, -125.698313290376, -1.477930090078, 0.0300
0.375160956340, -125.697044108002, -1.959189543326, 0.0303
0.375087186006, -125.695420896683, -2.441857073706, 0.0306
0.375013525701, -125.693444106269, -2.925789271563, 0.0309
0.374939997227, -125.691114614603, -3.410839982157, 0.0312
0.374866622442, -125.688433731246, -3.896860330959, 0.0315
0.374793423242, -125.685403200684, -4.383698752621, 0.0318
0.374720421565, -125.682025205001, -4.871201023698, 0.0321
0.374647639376, -125.678302365994, -5.359210299206, 0.0324
0.374575098662, -125.674237746721, -5.847567153072, 0.0327
0.374502821429, -125.669834852469, -6.336109622552, 0.0330
0.374430829688, -125.665097631114, -6.824673256663, 0.0333
0.374359145452, -125.660030472871, -7.313091168707, 0.0336
